场号,群号,,标识,,,备注/留言,,,,,,,,如果你的场有图片之类的资源请放在这里,,,,,,,
157,1044617066,,新157J场群,,,和谐相处，能打架别嘴炮,,,,,,,,,,,,,,,
158,1047638019,,来个群号！,,,有人吗,,,,,,,,,,,,,,,
159,1044603358,,新159场 欢迎大家摸鱼~,,,,,,,,,,,,,,,,,,
160,951913099,,160-,,,摸了~,,,,,,,,,,,,,,,
161,511453569,,JJC161场（4.30重置后）,,, 群呢群呢 /没有找个人开头建一下发群号啊,,,,,,,,,,,,,,,
162,1047583826,,国服PCR4月30日JJC162场,,,随便进，欢迎击剑 随机更新攻略,,,,,,,,,,,,,,,
163,432532431,,国服PCR4月30日JJC163场,,,没人的话我整一个,,,,,,,,,,,,,,,
164,970441611,,国服pcr4.30jjc164,,,欢迎,,,,,,,,,,,,,,,
165,1047590485,,国服PCR4月30日JJC165场,,,,,,,,,,,,,,,,,,
166,729873608,,国服PCR4月30日JJC166场,,,聊天吹水,,,,,,,,,,,,,,,
167,1043950548,,167,,,,,,,,,,,,,,,,,,
168,1019815512,,168,,,,,,,,,,,,,,,,,,
169,774588760,,jjc169场 2025.04.30重置,,,改好了 可以进了,,,,,,,,,,,,,,,
170,782290645,,170,,,,,,,,,,,,,,,,,,
171,223688026,,jjc171场,,,没人的话我整一个,,,,,,,,,,,,,,,
172,974659481,,jjc172场 2025.4.30重置,,,欢迎大家进群水群，击剑交流,,,,,,,,,,,,,,,
173,212038652,,25.4.30jjc173场次,,,祝各位击剑和挖矿顺利,,,,,,,,,,,,,,,
174,1020165481,,174,,,,,,,,,,,,,,,,,,
175,1044517337,,25.4.30 jjc175场,,,,,,,,,,,,,,,,,,
176,1020294927,,"有群吗",,,,,,,,,,,,,,,,,,
177,1047579682,,25.4.30 JJC177,,,有群么  群主西西良,,,,,,,,,,,,,,,
178,644913838,,25.4.30 jjc178场次,,,,,,,,,,,,,,,,,,
179,1047593203,,25.4.30 jjc179场次,,,,,,,,,,,,,,,,,,
180,555688539,,25.4.30 jjc180场次,,,有群了兄弟们！有了,,,,,,,,,,,,,,,
181,1047593283,,181,,,没人吗没人吗,,,,,,,,,,,,,,,
182,1003594129,,4.30更新jjc群,,,欢迎大佬们来闲聊呀,,,,,,,,,,,,,,,
183,655618252,,2025.04.30更新183场,,,欢迎大佬们来群闲聊畅谈,,,,,,,,,,,,,,,
184,1044625071,,184,,,有人建群吗,,,,,,,,,,,,,,,
185,625288580,,185场次2025.4.30,,,欢迎各位大佬进群吹水 群主一户,,,,,,,,,,,,,,,
186,978092911,,186,,,欢迎,,,,,,,,,,,,,,,
187,1047589346,,2025.04.30更新187场,,,,,,,,,,,,,,,,,,
188,1038220634,,2025.04.30 188,,,,,,,,,,,,,,,,,,
189,897773140,,一直没人建群，那我来,,,群呢群呢,,,,,,,,,,,,,,,
190,796319243,,jjc190，没人就自建了,,,,,,,,,,,,,,,,,,
191,369156659,,191场,,,没群，想要什么位置就去打，打赢了就是你的,,,,,,,,,,,,,,,
192,1038930130,,192,,,192场已经建群啦，小伙伴们快来吧！可能是最后一次分场啦！一起玩一辈子pcr！！！！！,,,,,,,,,,,,,,,
193,1044651582,,193,,,好了，已经正常了,,,,,,,,,,,,,,,
194,602528403,,"随便建的",,,"来人，笑死！真开摆么！来个群建群水水？",,,,,,,,,,,,,,,
195,758568647,,195场,,,,,,,,,,,,,,,,,,
196,1044558953,,196场,,,,,,,,,,,,,,,,,,
197,655918159,,197场,,,群内有机器人,,,,,,,,,,,,,,,
198,1047508823,,2025.04.30更新198场,,,已建群，欢迎大佬进群闲聊,,,,,,,,,,,,,,,
199,2160045805,,199场,,,可点击群号直接加,,,,,,,,,,,,,,,
200,1044620220,,200,,,没人建群我来,,,,,,,,,,,,,,,
201,112613225,,201,,,有机器人，人稍多,,,,,,,,,,,,,,,
202,1040801950,,202,,,进群一起来玩呀,,,,,,,,,,,,,,,
203,1040669689,,203,,,点击左侧群号直接加群了小伙伴们,,,,,,,,,,,,,,,
204,941828839,,204,,,204场已经建群啦，小伙伴们快来吧！一起玩一辈子pcr！！！！！,,,,,,,,,,,,,,,
205,1047524992,,205,,,,,,,,,,,,,,,,,,
206,893210805,,206,,,欢迎,,,,,,,,,,,,,,,
207,569392329,,207场,,,新群,,,,,,,,,,,,,,,
208,1044616141,,等群,,,,,,,,,,,,,,,,,,
209,239217158,,等个群,,,没人建群欸,,,,,,,,,,,,,,,
210,1044517994,,210场,,,超级咸鱼躺尸群,,,,,,,,,,,,,,,
211,112720259,,211场,,,纯恶霸场,,,,,,,,,,,,,,,
212,1047582656,,212场,,,,,,,,,,,,,,,,,,
213,1047571073,,213场,,,玩一辈子PCR吧,,,,,,,,,,,,,,,
214,1027922061,,214场,,,该开摆了,,,,,,,,,,,,,,,
215,326897859,,215场,,,没人建群我来建，assemble！！,,,,,,,,,,,,,,,
216,185072652,,216场,,,玩一辈子PCR吧,,,,,,,,,,,,,,,
217,1047663493,,217场,,,群以建 速来吹水,,,,,,,,,,,,,,,
218,1044603885,,218场,,,没人建？那我来,,,,,,,,,,,,,,,
219,778161056,,219场,,,欢迎大家,,,,,,,,,,,,,,,
220,728981435,,220场,,,,,,,,,,,,,,,,,,
221,1047592321,,221场,,,"没人吗没人吗 ←+1没人吗没人吗 谁来建一个",,,,,,,,,,,,,,,
222,677350816,,222场,,,没人建群我来，欢迎欢迎						,,,,,,,,,,,,,,,
223,1047628691,,223场,,,,,,,,,,,,,,,,,,
224,1030142040,,公主连结jjc224场4.30,,,欢迎大家,,,,,,,,,,,,,,,
225,1041060126,,公主连结jjc225场4.30,,,欢迎大家！,,,,,,,,,,,,,,,
226,970116506,,公主连结jjc226场4.30,,,226击术交流群，好兄弟一辈子,,,,,,,,,,,,,,,
227,1044591996,,公主连结jjc227场群 4.30,,,这下要227场一辈子了吧,,,,,,,,,,,,,,,
228,754182814,,jjc228群,,,为什么不进群？为什么不进？look in my eyes!!,,,,,,,,,,,,,,,
229,1047653795,,jjc229,,,,,,,,,,,,,,,,,,
230,1047589027,,230,,,欢迎大家,,,,,,,,,,,,,,,
231,1038989763,,231场,,,,,,,,,,,,,,,,,,
232,1047586131,,jjc232场群,,,群呢？,,,,,,,,,,,,,,,
233,1044612591,,233场群,,,欢迎大家加入，玩一辈子pcr,,,,,,,,,,,,,,,
234,1047536660,,jjc234场群,,,234会是最后一个场号吗？,,,,,,,,,,,,,,,
235,,,,,,235群都没有吗,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,,,,
